Subject,Edema1,Tumor1,Edema2,Tumor2
SimBRATS_HG0001,0.788765,0.972212,0.915073,0.980784
SimBRATS_HG0002,0.517383,0.957969,0.718462,0.970458
SimBRATS_HG0003,0.909936,0.948455,0.924681,0.959618
SimBRATS_HG0004,0.792214,0.836009,0.824321,0.858272
SimBRATS_HG0005,0.905888,0.919394,0.932088,0.963838
SimBRATS_HG0006,0.227351,0.937154,0.310229,0.950229
SimBRATS_HG0007,0.885754,0.970701,0.908922,0.967943
SimBRATS_HG0008,0.796588,0.583764,0.812105,0.531291
SimBRATS_HG0009,0.909166,0.972146,0.875295,0.976708
SimBRATS_HG0010,0.676573,0.958148,0.806938,0.96762
SimBRATS_HG0011,0.792166,0.920662,0.851971,0.935565
SimBRATS_HG0012,0.877323,0.958546,0.917992,0.963876
SimBRATS_HG0013,0.93287,0.913569,0.939426,0.943444
SimBRATS_HG0014,0.872969,0.954156,0.901854,0.951488
SimBRATS_HG0015,0.760206,0.858133,0.797949,0.856274
SimBRATS_HG0016,0.396464,0.914873,0.437065,0.922893
SimBRATS_HG0017,0.578042,0.936918,0.650443,0.942401
SimBRATS_HG0018,0.22994,0.9209,0.296568,0.932091
SimBRATS_HG0019,0.928203,0.896737,0.938238,0.91525
SimBRATS_HG0020,0.762857,0.954702,0.798101,0.962235
SimBRATS_HG0021,0.93847,0.899543,0.948643,0.927316
SimBRATS_HG0022,0.913929,0.896309,0.927391,0.938354
SimBRATS_HG0023,0.0589869,0.845264,0.06892,0.853684
SimBRATS_HG0024,0.435821,0.97879,0.789544,0.982955
SimBRATS_HG0025,0.195583,0.869044,0.23334,0.869242
