ID,SEX,AGE
1013090,1,41
1103722,1,12
1125244,2,13
1143655,1,13
1150497,2,67
1192435,2,51
1264721,2,31
1271401,2,22
1285465,2,30
1288657,1,20
1292527,1,14
1309257,1,46
1322220,1,26
1334556,1,24
1334913,1,13
1339484,1,67
1351931,2,29
1366839,1,71
1382333,1,28
1427581,2,27
1476437,1,23
1494230,2,32
1508861,2,21
1522653,1,41
1523112,2,33
1525492,1,19
1534265,2,11
1591238,1,26
1601547,2,8
1616468,2,47
1654606,2,50
1709141,1,46
1713513,2,85
1734822,2,32
1742775,2,16
1753435,2,16
1757866,1,40
1764982,1,53
1781836,2,13
1834799,1,54
1875434,2,8
1898228,1,15
1903493,2,64
1915832,1,53
1931386,2,47
1935851,1,43
1940084,1,81
1961098,2,21
2005303,2,15
2021454,2,37
2041109,2,17
2071045,1,24
2113846,1,44
2132437,2,78
2139745,1,38
2160826,1,55
2166659,1,28
2176073,2,45
2221971,1,34
2248813,1,22
2258252,2,24
2286053,1,47
2286816,1,20
2328270,1,63
2357976,2,55
2362594,2,77
2403029,2,14
2436415,1,46
2457957,2,23
2465771,2,47
2475376,1,21
2505567,1,37
2513310,2,76
2524225,1,46
2531270,1,18
2541244,1,43
2631208,1,37
2652676,1,14
2674565,1,4
2675807,1,43
2678751,2,10
2731081,1,21
2784584,1,15
2788776,2,20
2842950,1,27
2861923,1,41
2864064,1,17
2868630,1,14
2882334,1,43
2970212,2,10
2986140,1,47
3033715,2,61
3070385,2,74
3081896,1,17
3094481,1,14
3106263,1,23
3166395,2,69
3209959,1,55
3261820,1,42
3304648,1,54
3328556,1,23
3329569,2,50
3346545,2,16
3362208,1,17
3366302,1,21
3374719,1,7
3409284,1,64
3431295,2,13
3431940,2,28
3466763,2,25
3486362,1,25
3492484,2,12
3594255,1,70
3606220,2,42
3611212,1,23
3695138,1,51
3701005,1,34
3729976,1,22
3755111,1,65
3773269,1,82
3795193,1,57
3808535,1,25
3811036,2,20
3815065,1,22
3827479,1,44
3848143,1,9
3875444,1,14
3893245,1,38
3895064,2,66
3911767,2,19
3927656,2,21
3934325,2,22
3951328,1,21
3965194,1,21
4006955,1,46
4015919,1,48
4026825,2,52
4077433,1,33
4087509,2,83
4089896,2,13
4097119,1,81
4100790,1,43
4119751,1,23
4143704,1,41
4154799,1,40
4176156,1,46
4188346,2,41
4230470,1,17
4277600,1,40
4323037,2,36
4417007,2,17
4487215,2,30
4710111,1,45
4791943,1,41
5108043,2,77
5161117,1,15
5205221,1,68
5279162,1,41
5461463,2,40
6471972,1,32
6539040,1,72
6692978,1,43
6913939,2,53
7055197,2,22
7212617,1,68
8317157,1,34
8574662,1,42
8628499,1,44
8691891,2,71
9100911,2,26
9536886,2,61
9537916,1,23
9630905,2,36
9645370,2,26
9716792,2,55
9780496,1,30
